Name,Watched?,Rating,Tags,Must Watch Meter,Movie Name
2 Fast 2 Furious ,Yes,5.0,racing,,
3 Idiots,Yes,5.0,bollywood,,
10 Cloverfield Lane,Yes,5.0,thriller,,
12 Angry Men,Yes,5.0,thriller,,
21 Jump Street,Yes,5.0,comedy,,
A Beautiful Mind,Yes,5.0,history,,
A Quiet Place,Yes,5.0,thriller,,
American Psycho,Yes,5.0,thriller,,
Baahubali 2,Yes,5.0,kollywood,,
Babylon,Yes,5.0,history,,
Big Hero 6,Yes,5.0,animated,,
Bigil,Yes,5.0,kollywood,,
Bohemian Rhapsody,Yes,5.0,history,,
Brightburn,Yes,5.0,supernatural,,
Bullet Train,Yes,5.0,action,,
Catch Me If You Can,Yes,5.0,thriller,,
Coco,Yes,5.0,animated,,
Dictator,Yes,5.0,comedy,,
Django Unchained,Yes,5.0,action,,
Fight Club,Yes,5.0,mindbending,,
Forrest Gump,Yes,5.0,comedy,,
Get Out,Yes,5.0,horror,,
Gladiator,Yes,5.0,action,,
Good Will Hunting,Yes,5.0,drama,,
Guns Akimbo,Yes,5.0,action,,
Harry Potter and The Prisoner of Azkaban,Yes,5.0,supernatural,,
Hera Pheri,Yes,5.0,bollywood,,
Hereditary,Yes,5.0,horror,,
How To Train Your Dragon 2,Yes,5.0,animated,,
Inception,Yes,5.0,mindbending,,
Interstellar,Yes,5.0,sci-fi,,
John Wick 4,Yes,5.0,action,,
Joker,Yes,5.0,crime,,
K. G. F.,Yes,5.0,sandalwood,,
Kantara,Yes,5.0,sandalwood,,
Kirk Party,Yes,5.0,sandalwood,,
Mad Max: Fury Road,Yes,5.0,action,,
Mission Impossible 6: Fallout,Yes,5.0,action,,
Nobody,Yes,5.0,action,,
Parasite,Yes,5.0,thriller,,
Pirates of Caribbean: At World’s End,Yes,5.0,"action, comedy",,
Pulp Fiction,Yes,5.0,crime,,
Ratatouille,Yes,5.0,animated,,
Ready Player One,Yes,5.0,sci-fi,,
Revenant,Yes,5.0,thriller,,
Saltburn,Yes,5.0,thriller,,
Saw,Yes,5.0,horror,,
Schindler’s List,Yes,5.0,history,,
Se7en,Yes,5.0,thriller,,
Sisu,Yes,5.0,action,,
Snowpiercer,Yes,5.0,thriller,,
Spider Man: Across the Spider Verse,Yes,5.0,animated,,
Taare Zameen Par,Yes,5.0,bollywood,,
The Batman,Yes,5.0,supernatural,,
The Dark Knight ,Yes,5.0,supernatural,,
The Girl with the Dragon Tattoo,Yes,5.0,thriller,,
The Godfather,Yes,5.0,crime,,
The Hangover Part 1,Yes,5.0,comedy,,
The Martian,Yes,5.0,sci-fi,,
The Maze Runner,Yes,5.0,thriller,,
The Prestige,Yes,5.0,mindbending,,
The Shawshank Redemption,Yes,5.0,thriller,,
The Social Network,Yes,5.0,history,,
The Wolf of the Wall Street,Yes,5.0,comedy,,
Titanic,Yes,5.0,romance,,
Top Gun: Maverick,Yes,5.0,action,,
Tumbbad,Yes,5.0,thriller,,
Whiplash,Yes,5.0,drama,,
Your Name,Yes,5.0,anime,,
Zindagi Na Milegi Dobara,Yes,5.0,bollywood,,
12th Fail,Yes,4.0,bollywood,,
A Quiet Place 2,Yes,4.0,thriller,,
Ala Vaikuntapuramloo,Yes,4.0,tollywood,,
Animal,Yes,4.0,bollywood,,
Annabelle,Yes,4.0,horror,,
Annabelle: Creation,Yes,4.0,horror,,
Arjun Reddy,Yes,4.0,tollywood,,
Army of Dead,Yes,4.0,"sci-fi, thriller",,
Article 375,Yes,4.0,bollywood,,
Asuran,Yes,4.0,kollywood,,
Avatar,Yes,4.0,action,,
Baahubali,Yes,4.0,tollywood,,
Baby Driver,Yes,4.0,action,,
Bangalore Days,Yes,4.0,mollywood,,
Batla House,Yes,4.0,bollywood,,
Batman Begins,Yes,4.0,"sci-fi, thriller",,
Bhoothnath,Yes,4.0,bollywood,,
Birdbox,Yes,4.0,thriller,,
Birds of Prey,Yes,4.0,supernatural,,
Black Panther,Yes,4.0,supernatural,,
Blackmail,Yes,4.0,thriller,,
Bodyguard,Yes,4.0,bollywood,,
Borat: The Subsequent Film,Yes,4.0,comedy,,
Cars 4,Yes,4.0,animated,,
Chak De India,Yes,4.0,bollywood,,
Chappie,Yes,4.0,"sci-fi, thriller",,
Chennai Express,Yes,4.0,bollywood,,
Chichhore,Yes,4.0,bollywood,,
Cloudy with a Chance of Meatballs,Yes,4.0,animated,,
Cocaine Bear,Yes,4.0,comedy,,
Crazy Rich Asians,Yes,4.0,"comedy, romance",,
Dangal,Yes,4.0,sports,,
Deadpool 2,Yes,4.0,supernatural,,
Deep Blue Sea,Yes,4.0,thriller,,
Demon Slayer: Mugen Train,Yes,4.0,anime,,
Despicable Me 3,Yes,4.0,animated,,
Dhoom 3,Yes,4.0,"action, racing",,
Dilwale Dulhaniya Le Jayenge,Yes,4.0,bollywood,,
Django Unchained,Yes,4.0,"action, history",,
Don’t Breathe,Yes,4.0,thriller,,
Dookudu,Yes,4.0,tollywood,,
Drishyam,Yes,4.0,bollywood,,
Dune,Yes,4.0,"sci-fi, thriller",,
Dune 2,Yes,4.0,"sci-fi, thriller",,
Edge of Tomorrow,Yes,4.0,"mindbending, sci-fi, thriller",,
Eega,Yes,4.0,tollywood,,
Encanto,Yes,4.0,animated,,
Enola Holmes,Yes,4.0,thriller,,
EPIC Movie,Yes,4.0,animated,,
Escape Room,Yes,4.0,thriller,,
Extraction,Yes,4.0,action,,
F2: Fun and Frustration,Yes,4.0,tollywood,,
Fall,Yes,4.0,thriller,,
Fantastic Beasts: And Where to Find Them,Yes,4.0,supernatural,,
Fast 5,Yes,4.0,racing,,
Fast and Furious 6,Yes,4.0,racing,,
Fifty Shades of Grey,Yes,4.0,romance,,
Final Destination ,Yes,4.0,thriller,,
Finding Nemo,Yes,4.0,animated,,
Five Nights at Freddy’s,Yes,4.0,horror,,
Ford vs Ferrari,Yes,4.0,racing,,
Frozen,Yes,4.0,animated,,
Furious 7,Yes,4.0,racing,,
Ghost Rider,Yes,4.0,supernatural,,
Gravity,Yes,4.0,"sci-fi, thriller",,
Grownups 1,Yes,4.0,comedy,,
Grownups 2,Yes,4.0,comedy,,
Harry Potter and The Chamber of Secrets,Yes,4.0,supernatural,,
Harry Potter and The Deathly Hallows Part - 1,Yes,4.0,supernatural,,
Harry Potter and The Deathly Hallows Part - 2,Yes,4.0,supernatural,,
Harry Potter and The Goblet of Fire,Yes,4.0,supernatural,,
Harry Potter and The Half Blood Prince,Yes,4.0,supernatural,,
Harry Potter and The Order of the Phoenix,Yes,4.0,supernatural,,
Harry Potter and The Sorcerer’s Stone,Yes,4.0,supernatural,,
Hindi Medium,Yes,4.0,bollywood,,
Horrible Bosses 1,Yes,4.0,comedy,,
Hotel Transylvania 3,Yes,4.0,animated,,
House of Wax,Yes,4.0,thriller,,
How To Train Your Dragon 1,Yes,4.0,animated,,
Humble Politician: Nograj,Yes,4.0,sandalwood,,
Ice Age: Continental Drift,Yes,4.0,animated,,
Inside Out,Yes,4.0,animated,,
Invincibles,Yes,4.0,animated,,
Jailer,Yes,4.0,kollywood,,
Jana Gana Mana,Yes,4.0,mollywood,,
John Wick 1,Yes,4.0,action,,
John Wick 2,Yes,4.0,action,,
John Wick 3,Yes,4.0,action,,
JoJo Rabbit,Yes,4.0,thriller,,
Journey To The Centre Of The Earth,Yes,4.0,"sci-fi, thriller",,
Jujutsu Kaisen 0,Yes,4.0,anime,,
Jumanji: Welcome to the Jungle,Yes,4.0,thriller,,
Jurassic Park,Yes,4.0,"sci-fi, thriller",,
Jurassic Park III,Yes,4.0,"sci-fi, thriller",,
K. G. F. Chapter 2,Yes,4.0,sandalwood,,
Kabir Singh,Yes,4.0,bollywood,,
Kanchana,Yes,4.0,tollywood,,
Kannum Kannum Kollayadithal,Yes,4.0,kollywood,,
Killers of the Flower Moon,Yes,4.0,history,,
Kingsman: The Golden Circle,Yes,4.0,action,,
Kung Fu Panda,Yes,4.0,animated,,
Kung Fu Panda 2,Yes,4.0,animated,,
Kung Fu Panda 3,Yes,4.0,animated,,
Legend,Yes,4.0,crime,,
Life of Pi,Yes,4.0,thriller,,
Lion King,Yes,4.0,animated,,
Love and Other Drugs,Yes,4.0,"comedy, romance",,
Love Mocktail,Yes,4.0,sandalwood,,
Lucy,Yes,4.0,"sci-fi, thriller",,
M.S. Dhoni: The Untold Story,Yes,4.0,bollywood,,
Magadheera,Yes,4.0,tollywood,,
Maharshi,Yes,4.0,kollywood,,
Malang,Yes,4.0,bollywood,,
Max Steel,Yes,4.0,action,,
Minions,Yes,4.0,animated,,
Mission Impossible 4: Ghost Protocol ,Yes,4.0,action,,
Moana,Yes,4.0,animated,,
Moneyball,Yes,4.0,sports,,
Monster House,Yes,4.0,animated,,
Monsters.inc,Yes,4.0,animated,,
Munna Bhai M.B.B.S.,Yes,4.0,bollywood,,
Neeyat ,Yes,4.0,bollywood,,
Night at the Museum,Yes,4.0,thriller,,
Now You Can See Me,Yes,4.0,thriller,,
Ocean’s Eight,Yes,4.0,crime,,
Ocean’s Eleven,Yes,4.0,crime,,
Ocean’s Thirteen,Yes,4.0,crime,,
Om Shanti Om,Yes,4.0,bollywood,,
Oppenheimer ,Yes,4.0,history,,
Pailwaan,Yes,4.0,sandalwood,,
Passengers,Yes,4.0,"sci-fi, thriller",,
Pete’s Dragon,Yes,4.0,thriller,,
Pirates of Caribbean: Dead Man’s Chest,Yes,4.0,"action, comedy",,
Pirates of Caribbean: Dead Men Tell No Tales,Yes,4.0,"action, comedy",,
Pirates of Caribbean: On Stranger Tides,Yes,4.0,"action, comedy",,
Pirates of Caribbean: Salazar’s Revenge,Yes,4.0,"action, comedy",,
Pirates of Caribbean: The Curse of the Black Pearl,Yes,4.0,"action, comedy",,
Poor Things,Yes,4.0,sci-fi,,
Project X,Yes,4.0,comedy,,
Ra - One,Yes,4.0,bollywood,,
Race Gurram,Yes,4.0,kollywood,,
Rangasthalam,Yes,4.0,tollywood,,
Rango,Yes,4.0,animated,,
Real Steel,Yes,4.0,action,,
Robot,Yes,4.0,tollywood,,
Salaar,Yes,4.0,tollywood,,
San Andreas,Yes,4.0,action,,
Sanju,Yes,4.0,bollywood,,
Shazam!,Yes,4.0,supernatural,,
Sholay,Yes,4.0,bollywood,,
Shutter Island,Yes,4.0,"mindbending, sci-fi, thriller",,
Sinister,Yes,4.0,horror,,
Smile,Yes,4,horror,,
Smurfs,Yes,4.0,animated,,
Son of Sathyamurthy,Yes,4.0,tollywood,,
Sorarai Pottru,Yes,4.0,kollywood,,
Speed,Yes,4.0,thriller,,
Student of the Year,Yes,4.0,bollywood,,
Suicide Squad,Yes,4.0,supernatural,,
Super 30,Yes,4.0,bollywood,,
Taxi Driver,Yes,4.0,action,,
Tenet,Yes,4.0,"mindbending, sci-fi, thriller",,
The Arrival,Yes,4.0,"sci-fi, thriller",,
The Big Short,Yes,4.0,,,
The Big Short,Yes,4.0,history,,
The Bourne Ultimatum,Yes,4.0,action,,
The Conjuring,Yes,4.0,horror,,
The Croods,Yes,4.0,animated,,
The Dark Knight Rises,Yes,4.0,"sci-fi, thriller",,
The Fast and the Furious ,Yes,4.0,racing,,
The Fate of the Furious,Yes,4.0,racing,,
The Good Dinosaur,Yes,4.0,animated,,
The Hangover Part 2,Yes,4.0,comedy,,
The Karate Kid,Yes,4.0,action,,
The Kissing Booth 1,Yes,4.0,"comedy, romance",,
The Lost World: Jurassic Park,Yes,4.0,"sci-fi, thriller",,
The Luckiest Girl in Manhattan,Yes,4.0,comedy,,
The Mask,Yes,4.0,comedy,,
The Matrix,Yes,4.0,"sci-fi, thriller",,
The Meg,Yes,4.0,"sci-fi, thriller",,
The Pianist,Yes,4.0,history,,
The Social Dilemma,Yes,4.0,"sci-fi, thriller",,
The Taking of Deborah Logan,Yes,4.0,horror,,
The Wizard of Oz,Yes,4.0,supernatural,,
Theri,Yes,4.0,kollywood,,
Thupakki,Yes,4.0,kollywood,,
Tomorrowland,Yes,4.0,"sci-fi, thriller",,
Toy Story,Yes,4.0,animated,,
Toy Story 3,Yes,4.0,animated,,
Trolls,Yes,4.0,animated,,
Up,Yes,4.0,animated,,
Ustad Hotel,Yes,4.0,mollywood,,
V,Yes,4.0,tollywood,,
V.I.P.,Yes,4.0,kollywood,,
Venom,Yes,4.0,supernatural,,
Vikram,Yes,4.0,kollywood,,
War,Yes,4.0,bollywood,,
We’re the Millers,Yes,4.0,comedy,,
Why Cheat India?,Yes,4.0,bollywood,,
Wonder Woman,Yes,4.0,supernatural,,
Wreck It Ralph,Yes,4.0,animated,,
Wrong Turn: Bloody Beginnings,Yes,4.0,horror,,
xXx: Return of Xander Cage,Yes,4.0,action,,
Yeh Jawaani Yeh Deewani,Yes,4.0,bollywood,,
Yuvarathnaa,Yes,4.0,sandalwood,,
Zathura: A Space Adventure,Yes,4.0,"sci-fi, thriller",,
Zootopia,Yes,4.0,animated,,
2 States,Yes,3.0,bollywood,,
2018,Yes,3.0,mollywood,,
A Bug’s Life,Yes,3.0,animated,,
Agent Sai Shreenevasa Athreya,Yes,3.0,tollywood,,
Alice in Wonderland,Yes,3.0,thriller,,
American Pie 2,Yes,3.0,comedy,,
American Pie: Band Camp,Yes,3.0,comedy,,
Anna Bond,Yes,3.0,sandalwood,,
Annabelle: Comes Home,Yes,3.0,horror,,
Ant Boy,Yes,3.0,supernatural,,
Ant Boy 2,Yes,3.0,supernatural,,
AntZ,Yes,3.0,animated,,
Appu,Yes,3.0,sandalwood,,
Arasu,Yes,3.0,sandalwood,,
Army of Thieves,Yes,3.0,"sci-fi, thriller",,
Baagh Milka Baagh,Yes,3.0,bollywood,,
Back to the Future,Yes,3.0,"sci-fi, thriller",,
Bad Boys for Life,Yes,3.0,action,,
Bad Education,Yes,3.0,comedy,,
Badhaai Ho,Yes,3.0,bollywood,,
Bal Ganesh,Yes,3.0,animated,,
Bal Ganesh 2,Yes,3.0,animated,,
Bala,Yes,3.0,bollywood,,
Baywatch,Yes,3.0,comedy,,
Bell Bottom,Yes,3.0,bollywood,,
Bharat Ane Nenu,Yes,3.0,kollywood,,
Bheeshma,Yes,3.0,tollywood,,
Bhoot Raja Aur Ronnie,Yes,3.0,bollywood,,
Bhoot Uncle,Yes,3.0,bollywood,,
Bhoot: The Haunted Ship,Yes,3.0,horror,,
BitConned,Yes,3.0,history,,
Black Panther : Wakanda Forever,Yes,3.0,supernatural,,
Blade Runner 2049,Yes,3.0,sci-fi,,
Bloodshot,Yes,3.0,action,,
Blue Beetle,Yes,3.0,supernatural,,
Bolt,Yes,3.0,animated,,
Brothers,Yes,3.0,drama,,
Bumblebee,Yes,3.0,action,,
Businessman,Yes,3.0,tollywood,,
Captain America,Yes,3.0,supernatural,,
Cars,Yes,3.0,animated,,
Cars 2,Yes,3.0,animated,,
Cars 3,Yes,3.0,animated,,
Chalaang,Yes,3.0,bollywood,,
Chandralekha,Yes,3.0,sandalwood,,
Charlie and the Chocolate Factory,Yes,3.0,thriller,,
Cinderella,Yes,3.0,animated,,
Cloudy with a Chance of Meatballs 2,Yes,3.0,animated,,
Cloverfield,Yes,3.0,thriller,,
Deadpool,Yes,3.0,supernatural,,
Despicable Me,Yes,3.0,animated,,
Despicable Me 2,Yes,3.0,animated,,
Detective Pikachu,Yes,3.0,thriller,,
Dhoom,Yes,3.0,"action, racing",,
Dhoom 2,Yes,3.0,"action, racing",,
Dil Bechara,Yes,3.0,bollywood,,
Dodmane Hudga,Yes,3.0,sandalwood,,
Don’t Breathe 2,Yes,3.0,thriller,,
Dumbo,Yes,3.0,animated,,
El Dorado: Lost City of Gold,Yes,3.0,animated,,
English Medium,Yes,3.0,bollywood,,
Evaru,Yes,3.0,tollywood,,
F9,Yes,3.0,racing,,
Fantastic Four,Yes,3.0,supernatural,,
Fantastic Four: Silver Surfer,Yes,3.0,supernatural,,
Fantasy Island,Yes,3.0,thriller,,
Fast and Furious 4,Yes,3.0,racing,,
Fast and Furious: Hobbs And Shaw,Yes,3.0,racing,,
Ferdinand,Yes,3.0,animated,,
Finding Dory,Yes,3.0,animated,,
Five Feet Apart,Yes,3.0,romance,,
Frozen 2,Yes,3.0,animated,,
Ganga,Yes,3.0,horror,,
Garuda Gamana Vrushabhan Vahana,Yes,3.0,sandalwood,,
Godzilla vs Kong,Yes,3.0,action,,
Golmaal Again,Yes,3.0,bollywood,,
Good Newzz,Yes,3.0,bollywood,,
Gulabo Sitabo,Yes,3.0,bollywood,,
Gully Boy,Yes,3.0,bollywood,,
Gunday,Yes,3.0,bollywood,,
Hacked,Yes,3.0,bollywood,,
Happy New Year,Yes,3.0,bollywood,,
Herbie: Fully Loaded,Yes,3.0,racing,,
Heropanti,Yes,3.0,bollywood,,
Horrible Bosses 2,Yes,3.0,comedy,,
Hotel Transylvania,Yes,3.0,animated,,
Hotel Transylvania 2,Yes,3.0,animated,,
Housefull 4,Yes,3.0,bollywood,,
How To Train Your Dragon 3,Yes,3.0,animated,,
Humpty Sharma Ki Dulhaniya,Yes,3.0,bollywood,,
Hunger,Yes,3.0,"food, thriller",,
Ice Age,Yes,3.0,animated,,
Invincibles 2,Yes,3.0,animated,,
Journey 2: Mysterious Island,Yes,3.0,"sci-fi, thriller",,
Journey to the West,Yes,3.0,supernatural,,
Julayi,Yes,3.0,tollywood,,
Jumanji,Yes,3.0,thriller,,
Jumanji: The Next Level,Yes,3.0,thriller,,
Jungle Cruise,Yes,3.0,thriller,,
Jurassic World,Yes,3.0,"sci-fi, thriller",,
Jurassic World: Dominion,Yes,3.0,"sci-fi, thriller",,
Jurassic World: Fallen Kingdom,Yes,3.0,"sci-fi, thriller",,
Justice League,Yes,3.0,supernatural,,
Kabhi Kushi Kabhi Gham,Yes,3.0,bollywood,,
Kalpana,Yes,3.0,sandalwood,,
Kesari,Yes,3.0,bollywood,,
Kingsman: The Secret Service,Yes,3.0,action,,
Knock Knock,Yes,3.0,thriller,,
Krishh,Yes,3.0,bollywood,,
Krishh 2,Yes,3.0,bollywood,,
Krishh 3,Yes,3.0,bollywood,,
Kurukshetra,Yes,3.0,sandalwood,,
Labyrinthus,Yes,3.0,"mindbending, sci-fi, thriller",,
Little Mermaid,Yes,3.0,animated,,
Love Today,Yes,3.0,tollywood,,
Lucky,Yes,3.0,sandalwood,,
Ludo,Yes,3.0,bollywood,,
Malgudi Days,Yes,3.0,sandalwood,,
Mardaani,Yes,3.0,bollywood,,
Master,Yes,3.0,kollywood,,
Masterpiece,Yes,3.0,sandalwood,,
Mayabazaar,Yes,3.0,sandalwood,,
Mersal,Yes,3.0,kollywood,,
Michelles and Machines,Yes,3.0,animated,,
Middle Class Abbayi,Yes,3.0,tollywood,,
Milana,Yes,3.0,sandalwood,,
Mission Impossible 5: Rogue Nation,Yes,3.0,action,,
Mission Impossible 7: Dead Reckoning ,Yes,3.0,action,,
Mortal Kombat,Yes,3.0,action,,
Mr. and Mrs. Ramachari,Yes,3.0,sandalwood,,
Mr. Bean’s Holiday,Yes,3.0,comedy,,
My Hero Academia: Heroes Rising,Yes,3.0,anime,,
My Hero Academia: Two Heroes,Yes,3.0,anime,,
Night at the Museum: Battle of the Smithsonian,Yes,3.0,thriller,,
Night at the Museum: Secret of the Tomb,Yes,3.0,thriller,,
Now You Can See Me 2,Yes,3.0,thriller,,
Ocean’s Twelve,Yes,3.0,crime,,
Onward,Yes,3.0,animated,,
Padmaavat,Yes,3.0,bollywood,,
Paramathma,Yes,3.0,sandalwood,,
Pari: Not a Fairy Tale,Yes,3.0,bollywood,,
Pathaan,Yes,3.0,bollywood,,
Pati Patni aur Woh,Yes,3.0,bollywood,,
Phir Hera Pheri,Yes,3.0,bollywood,,
Pokemon: Lucario and the Mystery of Mew,Yes,3.0,anime,,
Pokemon: The First Movie,Yes,3.0,anime,,
Pokemon: The Rise of Darkrai,Yes,3.0,anime,,
Raazi,Yes,3.0,bollywood,,
Rajakumara,Yes,3.0,sandalwood,,
Ralph Breaks the Internet,Yes,3.0,animated,,
Ram,Yes,3.0,sandalwood,,
Ram Leela,Yes,3.0,bollywood,,
Rapunzel,Yes,3.0,animated,,
Robert,Yes,3.0,sandalwood,,
Robot 2.0,Yes,3.0,tollywood,,
Sarileru Neekevaru,Yes,3.0,tollywood,,
Sarkar,Yes,3.0,kollywood,,
Scouts Guide to the Zombie Apocalypse,Yes,3.0,comedy,,
Seetamma Vakitlo Sirimalli Chettu,Yes,3.0,tollywood,,
Shaolin Soccer,Yes,3.0,sports,,
Shazam: Fury of the Gods,Yes,3.0,supernatural,,
Skyscraper,Yes,3.0,"action, thriller",,
Smurfs 2,Yes,3.0,animated,,
Snow White,Yes,3.0,animated,,
Sonic the Hedgehog,Yes,3.0,animated,,
Sonu Ke Titu Ki Sweety,Yes,3.0,bollywood,,
Soul,Yes,3.0,animated,,
Spies In Disguise,Yes,3.0,animated,,
Stree,Yes,3.0,bollywood,,
Stuart Little,Yes,3.0,animated,,
Stuart Little 2,Yes,3.0,animated,,
Suicide Squad 2,Yes,3.0,supernatural,,
Tesla,Yes,3.0,history,,
The Adventures of Tintin,Yes,3.0,animated,,
The Angry Birds Movie,Yes,3.0,animated,,
The Boss Baby,Yes,3.0,animated,,
The Boss Baby: Family Business,Yes,3.0,animated,,
The Cloverfield Paradox,Yes,3.0,thriller,,
The Conjuring 2,Yes,3.0,horror,,
The Conjuring: The Devil Made Me Do It,Yes,3.0,horror,,
The Croods: A New Age,Yes,3.0,animated,,
The Fast and the Furious: Tokyo Drift ,Yes,3.0,racing,,
The Fuck It List,Yes,3.0,comedy,,
The Girl Next Door,Yes,3.0,"comedy, romance",,
The Great Gatsby,Yes,3.0,drama,,
The Hangover Part 3,Yes,3.0,comedy,,
The King’s Man,Yes,3.0,action,,
The Menu,Yes,3.0,"food, thriller",,
The Zoya Factor,Yes,3.0,bollywood,,
Thugs of Hindustan,Yes,3.0,bollywood,,
Toy Story 2,Yes,3.0,animated,,
Toy Story 4,Yes,3.0,animated,,
Trance,Yes,3.0,"mindbending, sci-fi, thriller",,
True Lies,Yes,3.0,action,,
Truth or Dare,Yes,3.0,horror,,
Ujda Chaman,Yes,3.0,bollywood,,
Uri,Yes,3.0,bollywood,,
Varisu,Yes,3.0,kollywood,,
Venky Mama,Yes,3.0,kollywood,,
Venom: Let There Be Carnage,Yes,3.0,supernatural,,
Vikramadityan,Yes,3.0,mollywood,,
War of the Worlds,Yes,3.0,"sci-fi, thriller",,
Wonder Woman 1984,Yes,3.0,supernatural,,
Yajamana,Yes,3.0,sandalwood,,
Zokkomon,Yes,3.0,bollywood,,
Zoom,Yes,3.0,sandalwood,,
2001 : A Space Odyssey,Yes,2.0,sci-fi,,
Aayirathil Oruvan,Yes,2.0,kollywood,,
Akash,Yes,2.0,sandalwood,,
Alita and the Battle Angel,Yes,2.0,"sci-fi, thriller",,
Alvin and the Chipmunks,Yes,2.0,animated,,
Antarikshyanam,Yes,2.0,tollywood,,
Avane Shriman Narayana,Yes,2.0,sandalwood,,
Avatar: The Last Airbender,Yes,2.0,animated,,
Badrinath Ki Dulhaniya,Yes,2.0,bollywood,,
Barbie,Yes,2.0,drama,,
Beauty and the Beast,Yes,2.0,animated,,
BFG,Yes,2.0,animated,,
Bhagamathi,Yes,2.0,tollywood,,
Bhoot and Friends,Yes,2.0,comedy,,
Bhoot Raja Aur Ronnie 2,Yes,2.0,bollywood,,
Bhoothnath Returns,Yes,2.0,bollywood,,
Boruto: Naruto the Movie,Yes,2.0,anime,,
Charlotte’s Web,Yes,2.0,animated,,
Dear Comrade,Yes,2.0,tollywood,,
Fast X,Yes,2.0,racing,,
Gaja,Yes,2.0,sandalwood,,
Goosebumps,Yes,2.0,"sci-fi, thriller",,
Gubbi Mele Brahmastra,Yes,2.0,sandalwood,,
Karwaan,Yes,2.0,bollywood,,
Lage Raho Munna Bhai,Yes,2.0,bollywood,,
Madha,Yes,2.0,sandalwood,,
My Friend Ganesha,Yes,2.0,animated,,
My Friend Ganesha 2,Yes,2.0,animated,,
My Hero Academia: World Heroes’ Mission,Yes,2.0,anime,,
Odeya,Yes,2.0,sandalwood,,
One Piece: Stampede,Yes,2.0,anime,,
Pagalpanti,Yes,2.0,bollywood,,
Pokemon: Genesect and the Legend Awakened,Yes,2.0,anime,,
Pokemon: Mewto Strikes Back,Yes,2.0,anime,,
Pokemon: The Legend of Arceus,Yes,2.0,anime,,
Porki,Yes,2.0,sandalwood,,
Saaho,Yes,2.0,kollywood,,
